,Country,Tons of food scarcity,Tons of surplus food,Coordinates
96,Iraq,0.0,2674624.0,"33.0955793, 44.1749775"
97,Ireland,217011.0,164812.0,"52.865196, -7.9794599"
98,Isle of Man,0.0,3764.5,"54.1936805, -4.5591148"
99,Israel,839405.0,643196.0,"30.8124247, 34.8594762"
100,Italy,2530262.0,2139679.0,"42.6384261, 12.674297"
101,Jamaica,957608.0,129832.0,"18.1850507, -77.3947693"
102,Japan,3212528.0,4627599.5,"36.5748441, 139.2394179"
103,Jordan,3172061.0,548945.0,"44.6663146, -93.6261918"
104,Kazakhstan,345897.0,847366.0,"48.1012954, 66.7780818"
105,Kenya,24387829.0,2896889.0,"1.4419683, 38.4313975"
106,Kiribati,34999.0,6271.5,"0.3448612, 173.6641773"
107,Kuwait,359082.0,225802.0,"29.3796532, 47.9734174"
108,Kyrgyzstan,286228.0,342148.5,"42.4858224, 74.714583"
109,Lao People's Dem. Rep.,0.0,365563.5,
110,Laos,1571109.0,0.0,"20.0171109, 103.378253"
111,Latvia,120368.0,84845.0,"56.8406494, 24.7537645"
112,Lebanon,1112340.0,412358.0,"40.375713, -76.4626118"
113,Lesotho,827705.0,122450.5,"-29.6039267, 28.3350193"
114,Liberia,2767900.0,292132.5,"5.7499721, -9.3658524"
115,Libya,1769616.0,309574.0,"26.8234472, 18.1236723"
116,Liechtenstein,0.0,1605.5,"47.1416307, 9.5531527"
117,Lithuania,186561.0,122797.5,"55.3500003, 23.7499997"
118,Luxembourg,11914.0,29692.0,"49.6112768, 6.129799"
119,Madagascar,11640769.0,1595700.0,"-18.9249604, 46.4416422"
120,Malawi,10633647.0,1102209.5,"-13.2687204, 33.9301963"
121,Malaysia,3451139.0,2719888.0,"4.5693754, 102.2656823"
122,Maldives,46531.0,22996.5,"3.7203503, 73.2244152"
123,Mali,0.0,1163110.5,"16.3700359, -2.2900239"
124,Malta,18089.0,31227.0,"35.8885993, 14.4476911"
125,Marshall Islands,0.0,2686.0,"8.230816999999998, 167.7953223704529"
126,Mauritania,1375561.0,260751.5,"20.2540382, -9.2399263"
127,Mauritius,247041.0,67446.5,"-20.2759451, 57.5703566"
128,Mexico,22197751.0,6987337.0,"19.4326296, -99.1331785"
129,Micronesia (Fed. States of),0.0,6069.0,
130,Moldova,518486.0,0.0,"47.2879608, 28.5670941"
131,Monaco,0.0,1647.5,"43.7323492, 7.4276832"
132,Mongolia,571485.0,150308.0,"43.9382593, -79.2235563"
133,Montenegro,59445.0,30905.0,"-29.6826112, -51.4687455"
134,Morocco,7825715.0,1944975.5,"28.3347722, -10.371337908392647"
135,Mozambique,15510394.0,1796673.5,"-19.302233, 34.9144977"
136,Myanmar,9195468.0,2755703.5,"17.1750495, 95.9999652"
137,Namibia,972802.0,134179.5,"-23.2335499, 17.3231107"
138,Nauru,0.0,494.0,"-0.5252306, 166.9324426"
139,Nepal,7488302.0,1348429.5,"28.3780464, 83.9999901"
140,Netherlands,517807.0,521461.5,"52.2434979, 5.6343227"
141,New Caledonia,0.0,12938.5,"-20.63784275, 161.21176261225781"
142,New Zealand,495358.0,153346.0,"-41.5000831, 172.8344077"
143,Nicaragua,0.0,313280.5,"12.6090157, -85.2936911"
144,Niger,0.0,1379231.0,"17.7356214, 9.3238432"
145,Nigeria,82263284.0,20542293.5,"9.6000359, 7.9999721"
146,North Macedonia,297819.0,102533.0,"41.6171214, 21.7168387"
147,Northern Mariana Islands,0.0,2617.0,"15.1753648, 145.7379338"
148,Norway,156150.0,248972.5,"64.5731537, 11.52803643954819"
149,Oman,0.0,267016.5,"21.0000287, 57.0036901"
150,Pakistan,49994643.0,9667388.0,"30.3308401, 71.247499"
151,Palau,0.0,823.5,"42.5717989, 2.9600905"
152,Palestine,972383.0,0.0,"31.7621153, -95.6307891"
153,Panama,0.0,184149.5,"8.559559, -81.1308434"
154,Papua New Guinea,0.0,468013.5,"-5.6816069, 144.2489081"
155,Paraguay,1130308.0,310217.5,"-23.3165935, -58.1693445"
156,Peru,11352759.0,1431639.0,"-6.8699697, -75.0458515"
157,Philippines,33169262.0,5512722.5,"12.7503486, 122.7312101"
158,Poland,1919497.0,1302423.5,"52.215933, 19.134422"
159,Portugal,806348.0,496398.5,
160,Puerto Rico,0.0,127210.0,"18.2247706, -66.4858295"
161,Qatar,0.0,152003.5,"25.3336984, 51.2295295"
162,Republic of Korea,0.0,2157013.5,"36.638392, 127.6961188"
163,Republic of Moldova,0.0,185328.5,"47.2879608, 28.5670941"
164,Romania,1758532.0,800532.5,"45.9852129, 24.6859225"
165,Russia,5406043.0,0.0,"64.6863136, 97.7453061"
166,Russian Federation,0.0,3434813.0,"64.6863136, 97.7453061"
167,Rwanda,0.0,1136447.0,"-1.9646631, 30.0644358"
168,Saint Kitts and Nevis,8651.0,2289.5,"17.250512, -62.6725973"
169,Saint Lucia,0.0,8050.0,"13.8250489, -60.975036"
170,Saint Martin (French part),0.0,1648.0,"18.0814066, -63.0467131"
171,Saint Vincent & Grenadines,0.0,4870.5,"12.59724245, -61.43353780382991"
172,Saint Vincent and the Grenadines,23518.0,0.0,"12.90447, -61.2765569"
173,Samoa,34238.0,9003.0,"-13.7693895, -172.12005"
174,San Marino,0.0,1645.5,"43.9458623, 12.458306"
175,Sao Tome and Principe,80580.0,12393.0,"0.9713095, 7.02255"
176,Saudi Arabia,0.0,2133791.0,"25.6242618, 42.3528328"
177,Senegal,5458435.0,938929.5,"14.4750607, -14.4529612"
178,Serbia,700298.0,431697.5,"44.024322850000004, 21.07657433209902"
179,Seychelles,0.0,5190.0,"-4.6574977, 55.4540146"
180,Sierra Leone,4818724.0,462285.5,"8.6400349, -11.8400269"
181,Singapore,183501.0,269858.0,"1.357107, 103.8194992"
182,Sint Maarten (Dutch part),0.0,1838.5,
183,Slovakia,283611.0,225592.0,"48.7411522, 19.4528646"
184,Slovenia,105776.0,42508.5,"46.1199444, 14.8153333"
185,Solomon Islands,0.0,35719.5,"-8.7053941, 159.1070693851845"
186,Somalia,8639764.0,913714.0,"8.3676771, 49.083416"
187,South Africa,7541347.0,1622546.5,"-28.8166236, 24.991639"
188,South Korea,1854744.0,0.0,"36.638392, 127.6961188"
189,South Sudan,6185552.0,654514.5,"7.8699431, 29.6667897"
190,Spain,2749469.0,2106357.0,"39.3260685, -4.8379791"
191,Sri Lanka,1465768.0,975623.0,"7.5554942, 80.7137847"
192,State of Palestine,0.0,289756.0,"31.762963620549996, 34.9384953773143"
193,Sudan,15208645.0,2416002.0,"10.9, 6.5"
194,Suriname,146697.0,25602.5,"4.1413025, -56.0771187"
195,Sweden,370950.0,456656.0,"59.6749712, 14.5208584"
196,Switzerland,128283.0,362928.5,"46.7985624, 8.2319736"
197,Syrian Arab Republic,0.0,1019411.0,"34.6401861, 39.0494106"
198,Tajikistan,0.0,525996.0,"38.6281733, 70.8156541"
199,Tanzania,23990716.0,0.0,"-6.5247123, 35.7878438"
200,Thailand,16307172.0,3283746.0,"7.4931858, 124.724704"
201,Timor-Leste,0.0,65933.5,"-8.7443169, 126.063482"
202,Togo,3561713.0,478214.0,"8.7800265, 1.0199765"
203,Tonga,16483.0,4773.0,"-19.9160819, -175.202642"
204,Trinidad and Tobago,443717.0,60495.5,"10.7466905, -61.0840075"
205,Tunisia,2298565.0,623657.5,"36.8002068, 10.1857757"
206,Turkey,0.0,4533716.5,"38.9597594, 34.9249653"
207,Turkmenistan,0.0,271415.5,"39.3763807, 59.3924609"
208,Turks and Caicos Islands,0.0,1656.5,"21.721746, -71.5527809"
209,Tuvalu,0.0,529.5,"-8.6405212, 179.1582918181797"
210,Uganda,21730507.0,2619312.0,"1.5333554, 32.2166578"
211,Ukraine,6728058.0,2016487.0,"49.4871968, 31.2718321"
212,United Arab Emirates,470169.0,524399.0,"24.0002488, 53.9994829"
213,United Kingdom,1584280.0,2741726.0,"54.7023545, -3.2765753"
214,United Rep. of Tanzania,0.0,3907434.0,
215,United States,18594390.0,0.0,"39.7837304, -100.445882"
216,United States Virgin Islands,0.0,4536.0,"17.789187, -64.7080574"
217,United States of America,0.0,12255632.0,"39.7837304, -100.445882"
218,Uruguay,532366.0,150120.5,"-32.8755548, -56.0201525"
219,Uzbekistan,5318166.0,1758854.5,"41.32373, 63.9528098"
220,Vanuatu,49021.0,15993.5,"-16.5255069, 168.1069154"
221,Venezuela (Boliv. Rep. of),0.0,1255727.5,
222,Viet Nam,0.0,4427703.0,"15.9266657, 107.9650855"
223,Vietnam,4958078.0,0.0,"15.9266657, 107.9650855"
224,Yemen,0.0,1741522.5,"16.3471243, 47.8915271"
225,Zambia,8879464.0,835539.5,"-14.5189121, 27.5589884"
226,Zimbabwe,7721228.0,843811.5,"-18.4554963, 29.7468414"
